Order ID,Order Date,Ship Date,Customer ID,Customer Name,State,City,Region,Category,Sub Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Payment Method,Rating
ORD00020,2025-10-27,2025-10-31,CUST1095,Customer_36,West Bengal,Kolkata,East,Electronics,Laptop,Laptop,23065.29,5,0.2,1721.48,290.19,Cash on Delivery,3.2
ORD00021,2025-07-26,2025-07-27,CUST1289,Customer_268,Karnataka,Bengaluru,South,Office Supplies,Pen Set,Pen Set,6909.17,5,0.2,336.77,70.5,UPI,4.3
ORD00022,2025-05-03,2025-05-06,CUST1004,Customer_235,Gujarat,Ahmedabad,West,Electronics,Smartphone,Smartphone,3312.86,4,0.1,532.01,282.25,Cash on Delivery,4.9
ORD00023,2025-09-17,2025-09-20,CUST1278,Customer_155,Karnataka,Bengaluru,South,Electronics,Headphones,Headphones,9359.29,2,0.0,2559.2,142.38,Cash on Delivery,3.3
ORD00024,2025-12-06,2025-12-07,CUST1107,Customer_176,Maharashtra,Mumbai,West,Office Supplies,Printer Paper,Printer Paper,2938.87,2,0.0,715.12,88.86,Debit Card,3.6
ORD00025,2025-05-09,2025-05-16,CUST1066,Customer_135,Gujarat,Ahmedabad,West,Office Supplies,Stapler,Stapler,643.03,1,0.15,149.48,61.02,Debit Card,3.7
ORD00026,2025-10-15,2025-10-16,CUST1075,Customer_221,Rajasthan,Jaipur,North,Office Supplies,Stapler,Stapler,561.17,1,0.05,106.64,258.65,Debit Card,4.2
ORD00027,2025-01-21,2025-01-24,CUST1317,Customer_80,Maharashtra,Mumbai,West,Furniture,Bookshelf,Bookshelf,6947.84,2,0.0,1096.43,189.97,Debit Card,4.7
ORD00028,2025-01-13,2025-01-15,CUST1136,Customer_82,Tamil Nadu,Chennai,South,Electronics,Monitor,Monitor,11866.37,3,0.15,2687.63,266.02,Credit Card,4.6
ORD00029,2025-04-24,2025-04-26,CUST1142,Customer_36,Telangana,Hyderabad,South,Electronics,Monitor,Monitor,7513.44,4,0.05,894.42,215.01,UPI,3.8
ORD00030,2025-12-14,2025-12-21,CUST1135,Customer_20,West Bengal,Kolkata,East,Office Supplies,Stapler,Stapler,8947.6,5,0.0,942.86,292.6,Credit Card,3.4
ORD00031,2025-08-12,2025-08-17,CUST1266,Customer_276,Telangana,Hyderabad,South,Furniture,Bookshelf,Bookshelf,3775.5,5,0.2,308.9,61.1,Debit Card,3.9
ORD00032,2025-12-07,2025-12-10,CUST1209,Customer_168,West Bengal,Kolkata,East,Furniture,Chair,Chair,8533.98,5,0.0,2034.04,125.08,Net Banking,3.6
ORD00033,2025-04-09,2025-04-13,CUST1000,Customer_156,Gujarat,Ahmedabad,West,Office Supplies,Pen Set,Pen Set,13804.5,4,0.05,2835.63,125.24,UPI,4.1
ORD00034,2025-08-27,2025-08-31,CUST1086,Customer_44,Delhi,New Delhi,North,Furniture,Bookshelf,Bookshelf,13772.04,4,0.2,1984.56,275.3,UPI,4.6
ORD00035,2025-12-11,2025-12-14,CUST1393,Customer_38,West Bengal,Kolkata,East,Electronics,Headphones,Headphones,8143.0,2,0.05,613.77,111.21,Net Banking,4.0
ORD00036,2025-12-23,2025-12-27,CUST1394,Customer_55,Telangana,Hyderabad,South,Office Supplies,Pen Set,Pen Set,8473.33,4,0.05,1816.11,51.39,Net Banking,4.5
ORD00037,2025-01-26,2025-01-31,CUST1286,Customer_163,Delhi,New Delhi,North,Electronics,Monitor,Monitor,9207.71,2,0.0,1661.27,250.35,Net Banking,4.3
ORD00038,2025-03-23,2025-03-29,CUST1248,Customer_123,Telangana,Hyderabad,South,Office Supplies,Stapler,Stapler,9441.34,4,0.05,2405.37,119.33,UPI,4.6
ORD00039,2025-05-01,2025-05-04,CUST1078,Customer_110,Rajasthan,Jaipur,North,Electronics,Smartphone,Smartphone,5203.82,3,0.2,300.4,87.71,Credit Card,3.8
ORD00040,2025-10-05,2025-10-09,CUST1010,Customer_295,Telangana,Hyderabad,South,Furniture,Bookshelf,Bookshelf,1995.5,4,0.15,270.76,242.45,Net Banking,4.9
ORD00041,2025-06-02,2025-06-09,CUST1112,Customer_250,Rajasthan,Jaipur,North,Electronics,Smartphone,Smartphone,17186.2,4,0.15,2894.3,233.66,Debit Card,4.6
ORD00042,2025-01-15,2025-01-19,CUST1318,Customer_274,Gujarat,Ahmedabad,West,Furniture,Sofa,Sofa,10231.78,3,0.15,2141.72,260.13,Credit Card,4.8
ORD00043,2025-02-12,2025-02-18,CUST1232,Customer_168,Telangana,Hyderabad,South,Office Supplies,Notebook,Notebook,3405.43,4,0.15,306.42,115.04,UPI,3.7
ORD00044,2025-05-10,2025-05-17,CUST1035,Customer_21,Telangana,Hyderabad,South,Furniture,Sofa,Sofa,2457.47,1,0.2,126.46,287.98,Credit Card,3.4
ORD00045,2025-11-15,2025-11-17,CUST1392,Customer_189,Delhi,New Delhi,North,Electronics,Laptop,Laptop,1611.72,2,0.0,328.91,104.49,Debit Card,4.4
ORD00046,2025-02-25,2025-03-02,CUST1366,Customer_102,Karnataka,Bengaluru,South,Electronics,Smartphone,Smartphone,4658.66,1,0.2,880.56,289.54,Credit Card,3.8
ORD00047,2025-12-17,2025-12-22,CUST1189,Customer_36,Delhi,New Delhi,North,Electronics,Smartphone,Smartphone,4021.89,1,0.2,853.36,136.8,Cash on Delivery,3.9
ORD00048,2025-09-08,2025-09-09,CUST1333,Customer_139,West Bengal,Kolkata,East,Electronics,Monitor,Monitor,19247.12,4,0.15,3957.36,158.87,Cash on Delivery,4.5
ORD00049,2025-10-31,2025-11-03,CUST1291,Customer_195,Rajasthan,Jaipur,North,Furniture,Sofa,Sofa,12864.67,3,0.0,1818.6,162.7,UPI,4.5
ORD00050,2025-04-04,2025-04-08,CUST1141,Customer_285,Maharashtra,Mumbai,West,Furniture,Bookshelf,Bookshelf,3806.32,2,0.1,513.38,270.08,Credit Card,4.4
ORD00051,2025-07-28,2025-08-01,CUST1047,Customer_151,Delhi,New Delhi,North,Electronics,Headphones,Headphones,19195.95,5,0.15,3687.52,172.71,Debit Card,4.6
ORD00052,2025-06-06,2025-06-12,CUST1169,Customer_181,Telangana,Hyderabad,South,Office Supplies,Pen Set,Pen Set,9856.49,5,0.2,1545.53,156.38,Net Banking,4.5
ORD00053,2025-04-29,2025-04-30,CUST1378,Customer_248,Gujarat,Ahmedabad,West,Furniture,Bookshelf,Bookshelf,3429.26,2,0.2,854.55,222.54,UPI,3.4
ORD00054,2025-06-01,2025-06-03,CUST1027,Customer_284,Gujarat,Ahmedabad,West,Electronics,Headphones,Headphones,3183.96,3,0.0,750.66,81.65,UPI,3.1
ORD00055,2025-02-22,2025-03-01,CUST1129,Customer_245,Tamil Nadu,Chennai,South,Office Supplies,Stapler,Stapler,2955.51,1,0.15,459.04,135.18,Credit Card,4.9
ORD00056,2025-02-07,2025-02-12,CUST1285,Customer_214,Karnataka,Bengaluru,South,Furniture,Sofa,Sofa,928.29,1,0.2,230.97,71.3,Cash on Delivery,3.5
ORD00057,2025-08-19,2025-08-23,CUST1378,Customer_51,Delhi,New Delhi,North,Office Supplies,Stapler,Stapler,12986.4,3,0.15,1521.79,205.26,Debit Card,4.2
ORD00058,2025-03-22,2025-03-24,CUST1149,Customer_17,Delhi,New Delhi,North,Furniture,Chair,Chair,5699.13,2,0.05,402.29,162.63,Debit Card,4.2
ORD00059,2025-12-26,2026-01-02,CUST1338,Customer_102,Gujarat,Ahmedabad,West,Office Supplies,Printer Paper,Printer Paper,2166.65,4,0.05,592.06,246.96,Net Banking,4.3
ORD00060,2025-11-28,2025-11-30,CUST1291,Customer_148,Karnataka,Bengaluru,South,Office Supplies,Pen Set,Pen Set,12503.49,3,0.0,1164.33,248.16,Net Banking,4.2
ORD00061,2025-12-25,2025-12-29,CUST1376,Customer_166,Karnataka,Bengaluru,South,Furniture,Bookshelf,Bookshelf,7806.8,3,0.15,1142.19,199.51,Cash on Delivery,4.8
ORD00062,2025-04-28,2025-05-04,CUST1020,Customer_90,Gujarat,Ahmedabad,West,Electronics,Laptop,Laptop,15090.95,5,0.0,4525.87,218.07,Net Banking,3.5
ORD00063,2025-10-27,2025-10-31,CUST1082,Customer_169,Rajasthan,Jaipur,North,Furniture,Desk,Desk,19405.86,4,0.15,2455.84,133.33,Net Banking,4.3
ORD00064,2025-10-09,2025-10-10,CUST1263,Customer_1,Rajasthan,Jaipur,North,Furniture,Sofa,Sofa,2490.75,4,0.1,326.59,292.55,Cash on Delivery,3.8
ORD00065,2025-04-07,2025-04-12,CUST1281,Customer_68,Rajasthan,Jaipur,North,Furniture,Chair,Chair,9565.93,3,0.15,1794.47,240.0,UPI,3.4
ORD00066,2025-03-04,2025-03-05,CUST1115,Customer_59,Rajasthan,Jaipur,North,Office Supplies,Stapler,Stapler,20183.53,5,0.05,2792.69,53.42,Net Banking,3.8
ORD00067,2025-09-13,2025-09-19,CUST1233,Customer_283,Karnataka,Bengaluru,South,Office Supplies,Pen Set,Pen Set,7927.76,3,0.1,1200.33,170.62,Debit Card,3.9
ORD00068,2025-02-05,2025-02-08,CUST1300,Customer_297,Telangana,Hyderabad,South,Electronics,Headphones,Headphones,7325.6,4,0.2,723.61,50.64,Net Banking,4.5
ORD00069,2025-06-26,2025-06-29,CUST1357,Customer_123,Tamil Nadu,Chennai,South,Furniture,Sofa,Sofa,19308.94,5,0.15,2899.74,130.44,Cash on Delivery,3.4
ORD00070,2025-01-23,2025-01-26,CUST1077,Customer_254,Telangana,Hyderabad,South,Electronics,Monitor,Monitor,14340.38,4,0.15,1935.05,215.92,Credit Card,4.6
ORD00071,2025-02-21,2025-02-28,CUST1079,Customer_39,Tamil Nadu,Chennai,South,Office Supplies,Printer Paper,Printer Paper,2714.46,4,0.15,144.89,86.04,Net Banking,4.7
ORD00072,2025-11-29,2025-11-30,CUST1388,Customer_250,Gujarat,Ahmedabad,West,Furniture,Sofa,Sofa,12873.72,3,0.2,1591.22,129.17,Cash on Delivery,4.4
ORD00073,2025-05-01,2025-05-07,CUST1051,Customer_228,Maharashtra,Mumbai,West,Office Supplies,Notebook,Notebook,14962.93,3,0.0,2625.6,74.61,Debit Card,4.3
ORD00074,2025-06-16,2025-06-23,CUST1349,Customer_93,Gujarat,Ahmedabad,West,Electronics,Laptop,Laptop,1608.17,1,0.1,248.87,111.05,Debit Card,3.8
ORD00075,2025-11-14,2025-11-20,CUST1130,Customer_5,Tamil Nadu,Chennai,South,Electronics,Monitor,Monitor,5177.61,2,0.2,370.13,165.29,Net Banking,3.5
ORD00076,2025-02-07,2025-02-11,CUST1154,Customer_102,Gujarat,Ahmedabad,West,Office Supplies,Pen Set,Pen Set,14822.18,3,0.1,2972.83,156.08,Net Banking,3.5
ORD00077,2025-07-15,2025-07-20,CUST1004,Customer_290,Rajasthan,Jaipur,North,Electronics,Headphones,Headphones,8877.29,3,0.1,575.49,257.51,Credit Card,3.8
ORD00078,2025-11-07,2025-11-14,CUST1337,Customer_71,Rajasthan,Jaipur,North,Furniture,Desk,Desk,3753.67,3,0.05,775.49,219.44,Credit Card,4.4
ORD00079,2025-01-18,2025-01-23,CUST1102,Customer_68,Maharashtra,Mumbai,West,Furniture,Sofa,Sofa,11145.98,3,0.0,3122.19,131.68,Cash on Delivery,3.8
ORD00080,2025-03-26,2025-03-29,CUST1038,Customer_73,West Bengal,Kolkata,East,Office Supplies,Printer Paper,Printer Paper,19373.77,4,0.1,4344.43,134.68,Debit Card,3.2
ORD00081,2025-02-16,2025-02-23,CUST1134,Customer_300,Telangana,Hyderabad,South,Office Supplies,Printer Paper,Printer Paper,1067.24,4,0.2,71.71,142.15,Net Banking,4.5
ORD00082,2025-08-30,2025-08-31,CUST1325,Customer_238,West Bengal,Kolkata,East,Electronics,Headphones,Headphones,22221.64,5,0.2,2492.41,202.52,UPI,4.3
ORD00083,2025-01-24,2025-01-25,CUST1232,Customer_190,Telangana,Hyderabad,South,Electronics,Headphones,Headphones,14941.35,3,0.0,1514.79,271.81,Cash on Delivery,3.3
ORD00084,2025-08-01,2025-08-07,CUST1189,Customer_112,Telangana,Hyderabad,South,Office Supplies,Pen Set,Pen Set,4201.73,1,0.2,545.32,287.88,Net Banking,3.1
ORD00085,2025-02-20,2025-02-26,CUST1232,Customer_47,Rajasthan,Jaipur,North,Electronics,Smartphone,Smartphone,8440.31,3,0.1,618.85,118.97,Debit Card,4.9
ORD00086,2025-05-05,2025-05-07,CUST1168,Customer_76,Maharashtra,Mumbai,West,Electronics,Smartphone,Smartphone,5924.93,5,0.2,507.02,103.99,Cash on Delivery,4.7
ORD00087,2025-03-08,2025-03-13,CUST1121,Customer_166,Maharashtra,Mumbai,West,Furniture,Desk,Desk,12098.6,3,0.0,2727.42,56.45,Credit Card,3.0
ORD00088,2025-03-06,2025-03-12,CUST1055,Customer_232,Tamil Nadu,Chennai,South,Furniture,Chair,Chair,10900.84,4,0.0,2014.19,244.5,Cash on Delivery,4.0
ORD00089,2025-12-04,2025-12-09,CUST1351,Customer_56,Delhi,New Delhi,North,Office Supplies,Notebook,Notebook,7195.81,3,0.0,671.96,169.75,Net Banking,3.8
ORD00090,2025-06-14,2025-06-19,CUST1195,Customer_272,Rajasthan,Jaipur,North,Electronics,Laptop,Laptop,1030.55,2,0.1,203.38,196.34,UPI,4.4
ORD00091,2025-02-20,2025-02-27,CUST1116,Customer_212,Rajasthan,Jaipur,North,Office Supplies,Stapler,Stapler,4293.41,1,0.2,852.61,103.76,UPI,3.9
ORD00092,2025-02-18,2025-02-21,CUST1034,Customer_47,Rajasthan,Jaipur,North,Furniture,Sofa,Sofa,6800.45,4,0.1,968.02,88.16,Credit Card,4.8
ORD00093,2025-07-10,2025-07-17,CUST1210,Customer_182,Karnataka,Bengaluru,South,Furniture,Chair,Chair,5741.16,2,0.2,1437.92,190.42,Net Banking,4.3
ORD00094,2025-06-30,2025-07-01,CUST1284,Customer_189,Maharashtra,Mumbai,West,Furniture,Bookshelf,Bookshelf,13177.9,5,0.05,2826.42,106.06,Credit Card,3.2
ORD00095,2025-08-08,2025-08-15,CUST1336,Customer_137,Gujarat,Ahmedabad,West,Office Supplies,Pen Set,Pen Set,24389.12,5,0.2,4267.76,210.67,Credit Card,3.1
ORD00096,2025-06-23,2025-06-26,CUST1324,Customer_16,Tamil Nadu,Chennai,South,Furniture,Bookshelf,Bookshelf,1070.75,1,0.05,208.36,150.2,Credit Card,3.3
ORD00097,2025-08-21,2025-08-24,CUST1026,Customer_80,Delhi,New Delhi,North,Furniture,Sofa,Sofa,3952.51,2,0.1,912.65,191.9,Debit Card,3.2
ORD00098,2025-05-20,2025-05-24,CUST1176,Customer_221,Maharashtra,Mumbai,West,Office Supplies,Notebook,Notebook,10124.7,4,0.15,1428.8,103.89,Credit Card,4.0
ORD00099,2025-09-27,2025-10-03,CUST1108,Customer_71,Gujarat,Ahmedabad,West,Office Supplies,Stapler,Stapler,1254.01,3,0.15,334.29,63.7,UPI,3.4
ORD00100,2025-01-04,2025-01-08,CUST1342,Customer_182,Gujarat,Ahmedabad,West,Furniture,Chair,Chair,4173.34,4,0.15,697.65,107.53,Credit Card,4.1
ORD00101,2025-08-12,2025-08-13,CUST1213,Customer_149,Telangana,Hyderabad,South,Office Supplies,Notebook,Notebook,18486.32,4,0.1,3450.79,193.35,Credit Card,4.4
ORD00102,2025-03-29,2025-04-05,CUST1301,Customer_206,Telangana,Hyderabad,South,Electronics,Smartphone,Smartphone,12042.33,5,0.1,956.02,261.12,Cash on Delivery,3.5
ORD00103,2025-06-23,2025-06-25,CUST1397,Customer_179,Karnataka,Bengaluru,South,Furniture,Bookshelf,Bookshelf,11819.3,3,0.0,2272.93,78.51,UPI,4.0
ORD00104,2025-03-16,2025-03-19,CUST1395,Customer_253,Tamil Nadu,Chennai,South,Electronics,Laptop,Laptop,2065.59,2,0.05,490.06,213.88,Net Banking,3.4
ORD00105,2025-11-18,2025-11-21,CUST1028,Customer_181,Rajasthan,Jaipur,North,Office Supplies,Printer Paper,Printer Paper,4621.72,2,0.15,680.71,125.71,Cash on Delivery,3.5
ORD00106,2025-08-20,2025-08-21,CUST1314,Customer_260,Karnataka,Bengaluru,South,Furniture,Sofa,Sofa,1969.94,1,0.1,151.45,266.06,Net Banking,4.7
ORD00107,2025-08-19,2025-08-26,CUST1230,Customer_53,Rajasthan,Jaipur,North,Office Supplies,Notebook,Notebook,16644.1,5,0.1,3214.0,175.34,UPI,4.9
ORD00108,2025-01-21,2025-01-23,CUST1144,Customer_199,Karnataka,Bengaluru,South,Office Supplies,Pen Set,Pen Set,19826.93,4,0.2,3073.26,89.69,Net Banking,3.7
ORD00109,2025-11-20,2025-11-26,CUST1336,Customer_77,West Bengal,Kolkata,East,Office Supplies,Notebook,Notebook,1549.13,3,0.0,314.09,146.64,UPI,3.5
ORD00110,2025-06-29,2025-07-02,CUST1065,Customer_270,Karnataka,Bengaluru,South,Office Supplies,Pen Set,Pen Set,3275.87,4,0.0,485.18,144.17,Credit Card,4.6
ORD00111,2025-01-10,2025-01-13,CUST1070,Customer_80,Telangana,Hyderabad,South,Office Supplies,Printer Paper,Printer Paper,3195.79,3,0.05,463.97,241.54,Credit Card,3.4
ORD00112,2025-12-05,2025-12-08,CUST1319,Customer_85,Gujarat,Ahmedabad,West,Electronics,Laptop,Laptop,4145.18,5,0.15,347.93,95.21,Net Banking,4.4
ORD00113,2025-12-13,2025-12-19,CUST1273,Customer_123,Maharashtra,Mumbai,West,Furniture,Bookshelf,Bookshelf,9708.05,2,0.2,996.86,237.13,UPI,3.9
ORD00114,2025-12-14,2025-12-19,CUST1082,Customer_103,Rajasthan,Jaipur,North,Electronics,Smartphone,Smartphone,9664.26,4,0.1,2234.25,175.73,Cash on Delivery,3.8
ORD00115,2025-11-25,2025-11-29,CUST1042,Customer_83,Tamil Nadu,Chennai,South,Furniture,Chair,Chair,8585.39,3,0.0,2030.52,178.98,UPI,3.2
ORD00116,2025-08-12,2025-08-13,CUST1191,Customer_121,Rajasthan,Jaipur,North,Office Supplies,Pen Set,Pen Set,8240.35,2,0.1,2181.25,153.72,Net Banking,3.8
ORD00117,2025-01-15,2025-01-18,CUST1241,Customer_72,Karnataka,Bengaluru,South,Furniture,Desk,Desk,4228.05,1,0.1,989.8,84.4,Net Banking,3.6
ORD00118,2025-02-10,2025-02-11,CUST1056,Customer_148,Rajasthan,Jaipur,North,Office Supplies,Notebook,Notebook,3705.43,3,0.05,706.76,231.81,Debit Card,4.1
ORD00119,2025-05-03,2025-05-07,CUST1323,Customer_264,Gujarat,Ahmedabad,West,Electronics,Laptop,Laptop,11970.73,5,0.0,3161.13,174.96,Cash on Delivery,4.1
ORD00120,2025-05-30,2025-06-03,CUST1268,Customer_185,Delhi,New Delhi,North,Office Supplies,Pen Set,Pen Set,3151.09,1,0.05,616.18,96.83,Credit Card,4.3
ORD00121,2025-01-23,2025-01-29,CUST1123,Customer_54,Maharashtra,Mumbai,West,Furniture,Sofa,Sofa,19635.96,4,0.1,4406.5,139.27,Cash on Delivery,3.1
ORD00122,2025-06-30,2025-07-05,CUST1245,Customer_94,West Bengal,Kolkata,East,Electronics,Laptop,Laptop,12314.53,3,0.05,3111.69,221.17,Debit Card,5.0
ORD00123,2025-01-19,2025-01-22,CUST1203,Customer_279,Karnataka,Bengaluru,South,Office Supplies,Stapler,Stapler,820.54,2,0.05,217.34,128.9,Net Banking,3.6
ORD00124,2025-05-27,2025-05-30,CUST1204,Customer_226,Gujarat,Ahmedabad,West,Electronics,Headphones,Headphones,4355.83,1,0.1,523.17,249.84,Net Banking,3.9
ORD00125,2025-12-21,2025-12-25,CUST1220,Customer_93,West Bengal,Kolkata,East,Electronics,Monitor,Monitor,13910.07,3,0.2,1372.63,70.65,Cash on Delivery,3.8
ORD00126,2025-02-10,2025-02-13,CUST1228,Customer_22,Gujarat,Ahmedabad,West,Furniture,Chair,Chair,5013.54,3,0.2,992.11,91.66,UPI,3.9
ORD00127,2025-02-08,2025-02-14,CUST1400,Customer_225,Telangana,Hyderabad,South,Furniture,Chair,Chair,7775.57,4,0.05,2174.16,85.69,Credit Card,4.2
ORD00128,2025-11-27,2025-11-30,CUST1189,Customer_191,Tamil Nadu,Chennai,South,Electronics,Headphones,Headphones,6113.1,3,0.2,288.08,88.36,Net Banking,3.9
ORD00129,2025-09-29,2025-10-02,CUST1255,Customer_266,Karnataka,Bengaluru,South,Office Supplies,Pen Set,Pen Set,6836.2,4,0.1,785.58,78.36,Net Banking,4.5
ORD00130,2025-12-27,2025-12-31,CUST1069,Customer_38,Karnataka,Bengaluru,South,Furniture,Bookshelf,Bookshelf,9965.11,2,0.1,2119.34,299.66,Net Banking,3.4
ORD00131,2025-02-14,2025-02-21,CUST1080,Customer_90,Tamil Nadu,Chennai,South,Office Supplies,Stapler,Stapler,10216.89,3,0.0,2053.59,122.59,UPI,3.6
ORD00132,2025-03-13,2025-03-15,CUST1066,Customer_45,Delhi,New Delhi,North,Electronics,Headphones,Headphones,1304.65,4,0.2,216.44,166.85,Credit Card,5.0
ORD00133,2025-09-27,2025-10-01,CUST1238,Customer_265,Gujarat,Ahmedabad,West,Furniture,Sofa,Sofa,16608.12,4,0.0,1786.57,129.26,UPI,3.1
ORD00134,2025-03-08,2025-03-12,CUST1082,Customer_166,Tamil Nadu,Chennai,South,Office Supplies,Pen Set,Pen Set,22857.09,5,0.0,6009.27,179.53,Debit Card,3.6
ORD00135,2025-02-10,2025-02-13,CUST1047,Customer_258,West Bengal,Kolkata,East,Office Supplies,Printer Paper,Printer Paper,6496.55,2,0.2,652.12,206.26,Debit Card,4.2
ORD00136,2025-10-16,2025-10-17,CUST1316,Customer_16,Tamil Nadu,Chennai,South,Electronics,Smartphone,Smartphone,589.87,1,0.2,57.94,102.7,Net Banking,4.1
ORD00137,2025-09-05,2025-09-07,CUST1237,Customer_105,Gujarat,Ahmedabad,West,Office Supplies,Printer Paper,Printer Paper,6510.73,4,0.0,1507.2,89.52,UPI,3.8
ORD00138,2025-06-26,2025-06-30,CUST1136,Customer_231,Tamil Nadu,Chennai,South,Furniture,Bookshelf,Bookshelf,7702.38,2,0.2,1259.83,129.78,Debit Card,3.9
ORD00139,2025-05-29,2025-06-02,CUST1097,Customer_82,Tamil Nadu,Chennai,South,Electronics,Laptop,Laptop,11035.23,5,0.05,2747.39,283.44,Net Banking,4.4
ORD00140,2025-09-12,2025-09-13,CUST1024,Customer_26,Rajasthan,Jaipur,North,Furniture,Bookshelf,Bookshelf,4737.12,1,0.2,666.0,110.18,UPI,4.2
ORD00141,2025-05-27,2025-06-01,CUST1206,Customer_188,Rajasthan,Jaipur,North,Office Supplies,Stapler,Stapler,4266.43,1,0.15,339.03,116.12,Credit Card,3.7
ORD00142,2025-07-05,2025-07-10,CUST1319,Customer_61,Telangana,Hyderabad,South,Electronics,Headphones,Headphones,1658.86,3,0.2,230.71,187.46,Debit Card,4.7
ORD00143,2025-06-23,2025-06-28,CUST1019,Customer_71,Karnataka,Bengaluru,South,Furniture,Bookshelf,Bookshelf,11471.5,3,0.05,2323.46,150.35,UPI,3.1
ORD00144,2025-03-18,2025-03-23,CUST1153,Customer_173,Rajasthan,Jaipur,North,Office Supplies,Stapler,Stapler,4354.74,5,0.2,479.36,148.24,Cash on Delivery,4.2
ORD00145,2025-09-01,2025-09-08,CUST1371,Customer_14,Rajasthan,Jaipur,North,Office Supplies,Printer Paper,Printer Paper,1968.12,1,0.0,581.73,195.93,Cash on Delivery,4.6
ORD00146,2025-01-27,2025-02-01,CUST1124,Customer_17,Rajasthan,Jaipur,North,Furniture,Desk,Desk,4073.83,4,0.2,857.19,145.05,Cash on Delivery,4.6
ORD00147,2025-08-14,2025-08-17,CUST1376,Customer_32,Karnataka,Bengaluru,South,Electronics,Laptop,Laptop,3707.48,4,0.05,594.25,243.74,Debit Card,4.8
ORD00148,2025-12-06,2025-12-10,CUST1346,Customer_136,Delhi,New Delhi,North,Office Supplies,Printer Paper,Printer Paper,10043.79,5,0.05,1718.75,183.28,Cash on Delivery,4.1
